"","W.PHE","K.PHE","E.PHE","W.GLU","K.GLU","E.GLU","BB.PHE","BB.GLU","tp.W","tp.K","tp.E","BB.tp","PHE.SE","GLU.SE","Year"
"34",6.16658759186683,6.42392791003148,2.74213549291019,23.8176269400162,23.4341454840775,22.7671999546431,5.02535191400484,23.5279032224569,3.01856081418546,2.9277928575136,3.35482499457974,3.13917157343514,0.299056713070963,0.281520192083223,1998
"35",5.18019775434785,6.37132865297236,3.53580643497001,23.6526765846842,23.3152779209797,23.2137342969005,5.02663312535436,23.5785892308181,3.13491201562837,2.91840641189905,3.30565550452273,3.14616942003735,0.317088038046775,0.520109572753377,1999
"36",4.19380791682887,6.31872939591324,4.32947737702983,23.4877262293521,23.1964103578819,23.6602686391578,5.02791433670388,23.6292752391792,3.25126321707128,2.90901996628451,3.25648601446572,3.15316726663956,0.316135079432233,0.52007839541352,2000
"37",3.20741807930989,6.26613013885413,5.12314831908965,23.32277587402,23.0775427947841,24.1068029814152,5.0291955480534,23.6799612475403,3.36761441851419,2.89963352066996,3.20731652440871,3.16016511324177,0.296014545856486,0.281347343454989,2001
"38",3.20166899028041,6.86217029670014,5.08003052489762,23.4820487930241,23.4699407737988,23.9340457081109,5.05797776924527,23.8025185261563,3.39098864061526,2.87078901941908,3.18895399195655,3.17344769927918,0.312035247432708,0.51760305130233,2002
"39",3.19591990125092,7.45821045454615,5.0369127307056,23.6413217120282,23.8623387528136,23.7612884348066,5.08675999043714,23.9250758047722,3.41436286271633,2.84194451816819,3.1705914595044,3.18673028531658,0.308121047159895,0.511925600428008,2003
"40",3.19017081222143,8.05425061239217,4.99379493651358,23.8005946310322,24.2547367318283,23.5885311615024,5.11554221162901,24.0476330833881,3.43773708481739,2.8131000169173,3.15222892705224,3.20001287135398,0.283447285303952,0.248235840759275,2004
"41",3.21544786175191,7.28195798303049,5.33025746945982,23.7473154565931,24.1632434740959,23.3079133577385,5.03344517513267,23.9325019324102,3.42661014091235,2.9095305228138,3.06482378020945,3.19533381831127,0.308493997245911,0.509546387621057,2005
"42",3.24072491128239,6.50966535366881,5.66672000240606,23.694036282154,24.0717502163635,23.0272955539747,4.95134813863633,23.8173707814323,3.41548319700731,3.00596102871029,2.97741863336666,3.19065476526855,0.312855561760511,0.509525107849114,2006
"43",3.26600196081287,5.73737272430712,6.0031825353523,23.6407571077149,23.980256958631,22.7466777502109,4.86925110214,23.7022396304544,3.40435625310227,3.10239153460678,2.89001348652387,3.18597571222584,0.29744332587798,0.248104767810726,2007
"44",3.81142489925326,4.96227045217335,5.3516462786884,24.0851729754576,23.9374811648303,23.3226024581539,4.74950096578052,24.0153500589898,3.39004930257852,3.20612049754348,3.06387481295545,3.24728740697015,0.312135547097722,0.509516292500498,2008
"45",4.35684783769365,4.18716818003958,4.7001100220245,24.5295888432003,23.8947053710297,23.8985271660969,4.62975082942105,24.3284604875252,3.37574235205477,3.30984946048018,3.23773613938702,3.30859910171446,0.306915458071087,0.509516292498447,2009
"46",4.90227077613404,3.4120659079058,4.0485737653606,24.974004710943,23.851929577229,24.4744518740399,4.51000069306158,24.6415709160606,3.36143540153102,3.41357842341688,3.4115974658186,3.36991079645878,0.280674238276915,0.248104767798089,2010
"47",4.87933474045312,4.04919431940795,3.32179179460095,24.3771175460021,23.175874455532,23.713606774839,4.44194668704314,23.9575970163035,3.28013920758484,3.22757509010255,3.40677266009037,3.28267001830884,0.302709982024837,0.509525107616364,2011
"48",4.85639870477221,4.6863227309101,2.5950098238413,23.7802303810612,22.4998193338349,22.9527616756381,4.37389268102471,23.2736231165465,3.19884301363867,3.04157175678822,3.40194785436215,3.1954292401589,0.302842932331262,0.50954638683553,2012
"49",4.83346266909129,5.32345114241225,1.86822785308165,23.1833432161203,21.8237642121379,22.1919165764372,4.30583867500627,22.5896492167895,3.1175468196925,2.85556842347389,3.39712304863393,3.10818846200896,0.281104168181278,0.24823583734258,2013
"50",4.49613338421971,4.79667100840938,2.28549748800163,23.7406087502894,22.9936547047907,22.8996198946639,4.24275449799955,23.4082221185426,3.24425996686539,3.09589004198036,3.43826096411646,3.23306906806559,0.307867511588999,0.511925537985138,2014
"51",4.15880409934813,4.26989087440652,2.70276712292162,24.2978742844584,24.1635451974435,23.6073232128905,4.17967032099283,24.2267950202956,3.37097311403828,3.33621166048682,3.479398879599,3.35794967412221,0.313804573612796,0.517602842870541,2015
"52",3.82147481447655,3.74311074040365,3.1200367578416,24.8551398186274,25.3334356900963,24.3150265311172,4.1165861439861,25.0453679220487,3.49768626121116,3.57653327899329,3.52053679508153,3.48283028017884,0.300153744860539,0.28134653091881,2016
"53",4.23751602794237,4.10873010927532,3.43658682630001,25.0250599718392,25.344531565259,24.152630069659,4.1707284422052,25.0424203248377,3.46282492123185,3.52631748668324,3.45269734325199,3.47474389272415,0.324329939691676,0.520067700477141,2017
"54",4.65355724140818,4.474349478147,3.75313689475841,25.1949801250511,25.3556274404218,23.9902336082009,4.2248707404243,25.0394727276268,3.42796358125254,3.4761016943732,3.38485789142244,3.46665750526947,0.330761900599159,0.520075027525014,2018
"55",5.069598454874,4.83996884701867,4.06968696321681,25.364900278263,25.3667233155845,23.8278371467427,4.2790130386434,25.0365251304158,3.39310224127323,3.42588590206315,3.3170184395929,3.45857111781479,0.32051964975098,0.281387160308955,2019
"56",4.9183398324523,4.7649263348658,3.67386037288555,25.096638213095,25.0532173171869,23.7625712283279,4.21988518775349,24.7867913747015,3.37652951567177,3.39210920429477,3.36384006451024,3.43157311429859,0.341603299057345,0.518141912081874,2020
"57",4.76708121003061,4.68988382271292,3.27803378255428,24.828376147927,24.7397113187893,23.6973053099131,4.16075733686358,24.5370576189872,3.35995679007031,3.3583325065264,3.41066168942759,3.40457511078238,0.347550600311644,0.513683760684061,2021
"58",4.61582258760892,4.61484131056005,2.88220719222301,24.560114082759,24.4262053203916,23.6320393914983,4.10162948597366,24.2873238632729,3.34338406446885,3.32455580875802,3.45748331434494,3.37757710726618,0.339158758440436,0.255692449616167,2022
