"","Year","System","Age","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.mean","VAL.sd","NOR.sd","GLU.sd","PHE.sd","ALA.sd","Sample.ID","Trophic.Position"
"42","1980","Kvichak","2","13.4032121212124","16.7473541666677","23.4382083333335","3.40330681818177","22.5531117424243","2.21636463293922","6.0776554430949","0.393174787305043","1.0200883305381","0.17534264289265","80_K_2",3.35621834492234
"43","1983","Kvichak","2","15.3192454545454","18.538407291667","20.3889395833332","3.95623295454539","20.5718982007574","1.56279730497795","1.64121831004688","1.03641238516453",NA,"0.521463860724356","83_K_2",2.84599244033822
"44","1986","Egegik","2","15.4528090909092","14.294236458334","24.3000979166666","7.04835511363634","23.4508546401514","0.880223085406547","1.60411937795561","0.413041236890963","1.05641675679243","0.38921449497492","86_E_2",2.96200322989097
"45","1986","Wood","3","15.3247412878788","17.5802911931816","21.56560189394","6.43102945075777","21.5225","1.393817759561","1.10041580242572","0.371005795698801","0.0472835855905172","0.189503957742306","86_W_3",2.66212074266037
"46","1971","Wood","2","23.3101363636372","13.5227897727269","21.9432424242436","6.68019886363742","20.0931079545459","0.363526631518758","0.0891325939597793","0.381574545058718","0.300756980456462","0.278836851851334","71_W_2",2.68031778478841
"47","1971","Wood","3","19.3300121212129","12.8213507575754","23.1106363636374","2.45285378787952","21.2856901515156","0.422626379347425","1.44358681666244","0.44078223866384","0.833478525225845","0.60727742788618","71_W_3",3.44444512404503
"48","1974","Egegik","2","17.5494189393947","15.5240214962118","23.6009318181828","5.03959498106156","21.9893767992429","0.397368296846211","0.429539077189181","0.230833037090486","0.297523575787526","0.17575127453196","74_E_2",3.14749813556958
"49","1977","Egegik","3","22.8087295454554","12.2224523674239","22.3506136363649","1.41212433712266","20.6544213068187","0.641231987523591","0.382577647455418","0.169319440202625","0.106947208575682","0.227065475780171","77_E_3",3.48420528317879
"50","1977","Kvichak","2","18.0882946969705","15.2995824810603","22.2779924242433","4.48991657197033","20.7229589962125","1.00914432911003","2.94327305489159","0.374566654804187","0.240267840060753","0.12109402920334","77_K_2",3.03797108389136
"51","1971","Egegik","2","18.1372537878787","13.3373696969681","22.8704886363621","4.19306969696843","22.3242575757565","0.619195749193663","0.183198336926218","0.301529199043836","0.880904614561981","0.443009630242446","71_E_2",3.16394035968749
"52","1971","Egegik","3","18.220461647727","16.9852568181803","23.4793129734833","3.8655859848471","22.3348087121197","0.165242817675711","0.465016709916144","0.135305376472547","0.336073196440465","0.384693182923602","71_E_3",3.29656189640739
"53","1971","Kvichak","2","22.2806576704546","14.5475219696955","21.7937874053014","3.25530946969609","22.0476382575745","0.177113511330147","0.157922913351915","0.0551544398204356","0.0568646635139211","0.123371545217446","71_K_2",3.14426033082228
"54","1971","Kvichak","3","21.2585321969697","14.062742424241","22.2856117424227","2.85582575757476","22.7675227272715","0.897146110890725","0.330715836850178","0.0991510456101422","0.434131507832218","0.0955453560529034","71_K_3",3.27050792986515
"55","1965","Wood","2","16.0339519886351","17.5596313446956","23.896448011363","4.28038986742363","21.3826431818178","0.293348311176055","1.18514254468597","0.325532340191525","1.80963177239558","0.489225151867787","65_W_2",3.29689208837668
"56","1967","Egegik","2","14.9528704545441","17.1697962121196","23.3433962121205","1.93562196969619","21.6474060606053","1.31249223671717","0.341863275646948","0.148266944082925","0.887770953174356","0.219993891048798","67_E_2",3.55067623830373
"57","1967","Egegik","3","12.7252387310597","18.3286779356046","23.8532279356053","3.90071297348401","21.9892219696965","0.62569701402161","0.223083314995438","0.639445069965272","0.522841694453571","0.393667731155695","67_E_3",3.34454886149027
"58","1968","Kvichak","2","20.0598238636352","14.8378428030286","23.1668428030295","1.85594507575658","22.8966515151506","0.810167168755073","0.930185700745797","0.118769578781948","0.123595240530915","0.0830554760316183","68_K_2",3.53695435230495
"59","1968","Wood","3","22.7111222537863","12.4676277462103","22.5643444128779","3.62985407196876","22.3888356060595","1.22025539099981","1.18637179256831","0.181630581008955","0.38508063827023","0.359049310754386","68_W_3",3.20035273950554
"60","1965","Egegik","2","13.5102310606061","14.8718401515153","22.1616431818182","2.51646136363635","20.5648272727275","1.26390206817318","1.94763657978048","0.554059014211292","0.329725691949016","0.128299461493334","65_E_2",3.30101725469998
"61","1965","Kvichak","2","15.4229223484851","13.976066287879","23.3098920454545","4.24901325757563","22.9395984848488","0.749682820530365","0.308324546801165","0.576460879656383","0.71458159816432","0.301510147828757","65_K_2",3.21825478581854
"62","1968","Wood","2","22.3666908143942","10.7486525568185","22.8908286931816","3.34501051136344","22.198010227273","0.709491512562596","0.0459270071512015","0.321822703220749","0.399786282180733","0.354822134701299","68_W_2",3.28694308524337
"63","1995","Wood","2","18.1604724431818","18.0385706439387","18.772068655303","3.99640468749991","21.9341442234846","3.10025994890512","2.05912650716569","0.428616308506663","0.902266043085282","0.586244800373637","95_W_2",2.61128384813075
"64","1995","Wood","3","15.6132228219697","15.9554774621207","21.5875553977272","4.53574895833325","22.7079271780301","0.224321414275655","0.806384674313008","0.241015359385116","0.846524454515654","0.351064436262492","95_W_3",2.9336836316422
"65","2016","Wood","2","15.1393478219699","16.3060576704549","23.9146793560604","3.81553664772656","23.2651114583334","0.43621084281392","0.825538945980091","0.409436308000902","1.39217919100183","0.2534795168302","16_W_2",3.36531766406995
"66","2016","Wood","3","15.4330974431821","13.2037800189395","23.3336801136365","5.01115823863612","22.9644489583334","0.5034357057312","1.35750746618315","0.080547227386722","0.161215659224324","0.152128912694047","16_W_3",3.11367165368277
"67","2022","Egegik","3","18.4401919034092","14.0115089488643","20.3495536931814","1.48411775568087","21.1204828125001","1.08574779808152","0.960967958880228","0.00771911510616576","0.831270915193238","0.120148490667054","22_E_3",3.19057166253549
"68","2022","Kvichak","2","21.7018071022726","13.5375851325768","23.3738441287871","4.86614933711971","23.1632677083335","0.572481664929163","0.231793105493695","0.13484975845294","0.840591227242412","0.185631455651987","22_K_2",3.13990011213419
"69","2007","Wood","2","21.4343713068185","16.1446317234859","20.1320604166666","3.32614412878767","21.1692862689395","3.452857555183","0.674840798483139","0.387560282323771","0.514291948515503","0.25132949356466","07_W_2",2.89885499828313
"70","2016","Egegik","2","24.4910957386367","11.1965436553049","21.8125812499998","3.18357784090891","22.8929860795457","0.418705904826522","0.3557806731517","0.553768878099455","0.264365502145259","0.870839256597692","16_E_2",3.15708263584857
"71","2001","Wood","2","17.1837687776142","14.5907790868934","22.263448699067","3.13708664702973","21.5142012763869","0.792476724473297","0.54826883342477","0.453132388207685","0.799023331921763","0.450381751646661","01_W_2",3.22753003569933
"72","2007","Egegik","3","22.3877550319097","14.009078055966","22.4431703485514","2.34677049582678","21.5447511045656","1.65873880838224","0.17517910508831","0.301516292503169","0.238571816775461","0.0843751271338914","07_E_3",3.36492915760972
"73","1986","Wood","2","21.8815780559646","11.8370522827703","23.0592115856647","3.47361671575809","22.3011634756996","0.472932143589531","0.609377718164506","0.384469821594616","0.197785199464706","0.20138033262342","86_W_2",3.2925771770406
"74","1998","Egegik","3","14.2672790868926","14.910471526756","22.8010741286203","5.70990709376508","22.7507889052529","1.10020511586536","3.23428676479596","0.245711490371354","0.910419995639783","0.102247579810678","98_E_3",2.93925878680669
"75","1974","Kvichak","2","14.1688685606059","13.7775362689399","20.681598674242","3.5647580492419","21.529078219697","1.4725239045465","1.99204716730057","0.839228157815241","0.809467121408887","0.253764562684125","74_K_2",2.9428952726629
"76","2001","Egegik","3","16.2057416193181","14.9447262310605","22.5404965435603","5.06062537878747","22.5297702651513","0.724753805891664","0.301369759311787","0.356606222463047","0.589095338741449","0.24585894510642","01_E_3",2.99431602900465
"77","2022","Kvichak","3","14.6430138573233","15.0371955176767","22.2133641098488","3.6669884154042","21.2032915088384","0.567618717725955","0.382050605543229","0.282625845651953","0.87938105861026","0.207764005828548","22_K_3",3.14537899354739
"78","2022","Wood","3","19.9498940814395","13.598799005682","20.7501955492425","4.21315170454544","21.0431186553032","1.95962779844855","0.587661009841843","0.379773715209882","0.433693737686218","0.180813969662604","22_W_3",2.86077108281828
"79","2013","Wood","2","17.5258135416668","13.774238399622","22.0761715435598","4.45327670454554","21.8596326704545","0.918584205119852","0.0701744294317388","1.68496148291991","0.829088396849691","0.380268098372072","13_W_2",3.01457433980372
"80","2013","Wood","3","15.1424841856062","14.5158724905309","23.0660126420447","4.38017102272712","21.5993953598484","0.74661925400284","0.96831251829311","0.354048414184227","0.838472144999803","0.274079052725351","13_W_3",3.16513337384102
"81","2004","Egegik","2","17.9315896780304","12.7793189393944","23.2850957386361","4.4036014204542","22.6452429450759","1.83070718911826","1.31962008308397","0.307788838374427","0.644394439857604","0.218849637850612","04_E_2",3.19284622070565
"82","2010","Wood","2","18.4420234848484","15.2694699337123","23.8446189393939","4.55806330492403","22.2812007575757","0.400195484025737","0.489075231970307","0.625205669867233","1.23730139126472","0.391932605884105","10_W_2",3.25022034482576
"83","2022","Egegik","2","16.1681041666664","14.1253428030308","22.9325123106049","2.28971212121098","21.6896988636361","1.7679986176674","1.12533599168837","0.386515700663509","0.669990774869228","0.118114699533661","22_E_2",3.44232297300197
"84","1974","Wood","2","18.1659893939395","14.7043853693182","23.4090002840909","4.41684303977259","22.7627858901514","1.13277348315364","1.22213943253661","0.650124872445191","0.512084331590833","0.191519324670705","74_W_2",3.20852085613574
"85","1989","Kvichak","2","17.3387846117425","13.3776173295458","21.4460520359846","5.37516093749961","22.8419059185605","2.58421348795329","0.867228110421171","0.217840431744739","0.652977492504357","0.189190814869362","89_K_2",2.7947437816551
