Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
14,47493,03/28/24,86_W_02_f,B12,SAMPLE,0.708,CO2,2,1,525.2,38.2,,,,,,,,,,,,,,,0.8,4044,75014,75.014,0.3,4186,77682,0.855,2.0,5828,0.324,108145,1.0355748,0.0119849,0,0,1.441675,0.0040196,0,0,0.0111802,0,0.0020052,0
15,47494,03/28/24,NOR_1,C1,SAMPLE,0.457,N2,1,1,47.4,26.1,21.1,926,17085,17.085,13.5,608,11231,0.124,0.6573715,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
15,47494,03/28/24,NOR_1,C1,SAMPLE,0.457,N2,2,0,216.5,87.6,25.4,5624,124628,124.628,16.3,3748,82974,0.913,0.6657729,0.0074504,12.78,12.78,0.0037252,12.78,,,,,,,,,,,,,,,,,,,,,,,,
15,47494,03/28/24,NOR_1,C1,SAMPLE,0.457,CO2,3,0,366.8,106.4,,,,,,,,,,,,,,,0.8,8785,227162,227.162,0.3,9050,232338,2.556,2.1,12584,0.977,325779,1.0227887,0.0118314,-12.804,-12.804,1.4341285,0.0039996,-4.958,-4.958,0.0110288,-13.542,0.0019953,-4.933
15,47494,03/28/24,NOR_1,C1,SAMPLE,0.457,CO2,4,1,525.4,38.5,,,,,,,,,,,,,,,3.7,4046,75034,75.034,3.3,4190,77739,0.855,6.4,5829,0.324,108144,1.0360538,0.0119849,0,0,1.441274,0.0040196,0,0,0.0111802,0,0.0020052,0
16,47495,03/28/24,NOR_2,C2,SAMPLE,0.455,N2,1,1,47.4,26.1,21.7,924,17042,17.042,14.0,607,11195,0.123,0.6569005,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
16,47495,03/28/24,NOR_2,C2,SAMPLE,0.455,N2,2,0,216.1,80.3,25.7,2339,51281,51.281,16.6,1561,34192,0.376,0.6667501,0.0074667,14.994,14.994,0.0037334,14.994,,,,,,,,,,,,,,,,,,,,,,,,
16,47495,03/28/24,NOR_2,C2,SAMPLE,0.455,CO2,3,0,371,96.6,,,,,,,,,,,,,,,1.2,5132,128114,128.114,0.7,5258,130728,1.438,2.7,7368,0.553,184185,1.020403,0.0117914,-16.137,-16.137,1.4376631,0.0040101,-2.343,-2.343,0.0109878,-17.213,0.0020006,-2.307
16,47495,03/28/24,NOR_2,C2,SAMPLE,0.455,CO2,4,1,525.4,38.5,,,,,,,,,,,,,,,2.7,4048,75069,75.069,2.3,4197,77857,0.856,4.9,5831,0.325,108178,1.0371397,0.0119849,0,0,1.4410401,0.0040196,0,0,0.0111802,0,0.0020052,0
17,47496,03/28/24,NOR_3,C3,SAMPLE,0.473,N2,1,1,47.4,26.1,21.6,924,17026,17.026,13.9,607,11183,0.123,0.6568206,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
17,47496,03/28/24,NOR_3,C3,SAMPLE,0.473,N2,2,0,216.1,81.1,25.7,2439,53335,53.335,16.6,1626,35538,0.391,0.666303,0.0074626,14.437,14.437,0.0037313,14.437,,,,,,,,,,,,,,,,,,,,,,,,
17,47496,03/28/24,NOR_3,C3,SAMPLE,0.473,CO2,3,0,370.8,97.6,,,,,,,,,,,,,,,1.1,5331,133189,133.189,0.7,5466,135998,1.496,2.6,7650,0.574,191429,1.0210961,0.0117938,-15.94,-15.94,1.4372793,0.0040092,-2.573,-2.573,0.0109902,-16.993,0.0020001,-2.538
