Year,Species,FileID,CardID,FishID,Sex,Age,ErrorCode,Length,Weight,SampleDate,District,Subdistrict,Stream,Location,Project,Gear,Mesh,NumberofScales,SampleComment,MeasurementType,ImageName,ImageSaved,UserID,DateScanned,DigitizedUserID,DigitizedDate,Comment,ASLComment
1965,420,65COMWO020,020,05,1,13,0,567,,08-Jul-65,325,30,300,101,03,02,,5,,02,WO6513M013,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO020,020,08,1,22,0,495,,08-Jul-65,325,30,300,101,03,02,,5,,02,WO6522M010,Y,,,JEBAKER,15-Oct-18,,
1965,420,65COMWO020,020,15,1,13,0,512,,08-Jul-65,325,30,300,101,03,02,,5,,02,WO6513M014,Y,,,,,,
1965,420,65COMWO020,020,17,2,12,0,519,,08-Jul-65,325,30,300,101,03,02,,5,,02,WO6512F016,Y,,,JEBAKER,06-Nov-18,,
1965,420,65COMWO020,020,19,1,13,0,537,,08-Jul-65,325,30,300,101,03,02,,5,,02,WO6513M015,Y,,,,,,
1965,420,65COMWO021,021,04,1,13,0,533,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513M016,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO021,021,11,1,13,0,567,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513M017,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO021,021,12,1,13,0,577,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513M018,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO021,021,14,2,13,0,548,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513F019,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO021,021,16,2,12,0,473,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6512F017,Y,,,,,,
1965,420,65COMWO021,021,17,2,12,0,482,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6512F018,Y,,,JEBAKER,14-Dec-17,,
1965,420,65COMWO021,021,18,2,13,0,546,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513F020,Y,,,JEBAKER,12-Dec-17,,
1965,420,65COMWO021,021,20,2,12,0,482,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6512F019,Y,,,WWHELAN,07-Jul-03,,
1965,420,65COMWO021,021,21,2,12,0,507,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6512F020,Y,,,,,,
1965,420,65COMWO021,021,24,1,13,0,578,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513M019,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO021,021,26,1,12,0,492,,08-Jul-65,325,30,300,101,03,02,,13,,02,,N,,,,,,
1965,420,65COMWO021,021,28,2,22,0,467,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6522F013,Y,,,WWHELAN,04-Aug-03,,
1965,420,65COMWO021,021,30,2,13,0,545,,08-Jul-65,325,30,300,101,03,02,,13,,02,WO6513F021,Y,,,JEBAKER,16-Jan-18,,
1965,420,65COMWO022,022,01,2,13,0,538,,08-Jul-65,325,30,300,101,03,02,,3,,02,WO6513F022,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO022,022,11,1,13,0,540,,08-Jul-65,325,30,300,101,03,02,,3,,02,WO6513M020,Y,,,,,,
1965,420,65COMWO022,022,22,1,13,0,550,,08-Jul-65,325,30,300,101,03,02,,3,,02,WO6513M021,Y,,,JEBAKER,23-Feb-18,,
1965,420,65COMWO023,023,04,1,13,0,580,,08-Jul-65,325,30,300,101,03,02,,17,,02,WO6513M022,Y,,,WWHELAN,30-Jul-03,,
