"","year","mo","data-type","region","extent","area"
"255",2004,6,"Goddard","N",11.45,9.24
"256",2005,6,"Goddard","N",11.16,8.81
"257",2006,6,"Goddard","N",10.92,8.41
"258",2007,6,"Goddard","N",11.22,8.21
"259",2008,6,"Goddard","N",11.21,8.85
"260",2009,6,"Goddard","N",11.32,9.25
"261",2010,6,"Goddard","N",10.59,8.37
"262",2011,6,"Goddard","N",10.75,8.54
"263",2012,6,"Goddard","N",10.67,8.16
"264",2013,6,"Goddard","N",11.36,8.95
"265",2014,6,"Goddard","N",11.03,8.76
"266",2015,6,"Goddard","N",10.88,8.7
"267",2016,6,"Goddard","N",10.41,8.21
"268",2017,6,"Goddard","N",10.76,8.63
"269",2018,6,"Goddard","N",10.78,8.79
"270",2019,6,"Goddard","N",10.59,8.32
"271",2020,6,"Goddard","N",10.59,8.41
"272",2021,6,"Goddard","N",10.77,8.39
"273",2022,6,"Goddard","N",10.88,8.61
"274",2023,6,"NRTSI-G","N",10.96,8.71
"275",1979,7,"Goddard","N",10.31,6.69
"276",1980,7,"Goddard","N",10.1,6.53
"277",1981,7,"Goddard","N",10.27,6.31
"278",1982,7,"Goddard","N",10.37,6.87
"279",1983,7,"Goddard","N",10.57,6.86
"280",1984,7,"Goddard","N",9.98,6.3
"281",1985,7,"Goddard","N",9.74,5.99
"282",1986,7,"Goddard","N",10.15,6.62
"283",1987,7,"Goddard","N",10.33,6.55
"284",1988,7,"Goddard","N",9.81,7.01
"285",1989,7,"Goddard","N",10.13,7.33
"286",1990,7,"Goddard","N",9.25,6.52
"287",1991,7,"Goddard","N",9.51,6.76
"288",1992,7,"Goddard","N",10.32,7.22
"289",1993,7,"Goddard","N",9.48,6.28
"290",1994,7,"Goddard","N",9.93,6.92
"291",1995,7,"Goddard","N",8.99,6.16
"292",1996,7,"Goddard","N",10.16,7.44
"293",1997,7,"Goddard","N",9.41,6.5
"294",1998,7,"Goddard","N",9.42,6.45
"295",1999,7,"Goddard","N",9.49,6.55
"296",2000,7,"Goddard","N",9.51,6.39
"297",2001,7,"Goddard","N",9.07,6.29
"298",2002,7,"Goddard","N",9.27,6.44
"299",2003,7,"Goddard","N",9.21,6.15
"300",2004,7,"Goddard","N",9.43,6.51
"301",2005,7,"Goddard","N",8.65,5.9
