Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
34,46342,10/01/23,GA1_STD_03,C8,STD,0.429,CO2,4,1,525.6,41,,,,,,,,,,,,,,,2.6,5180,96215,96.215,2.1,5499,102176,1.124,5.5,7434,0.414,138099,1.0619534,0.0119849,0,0,1.4353189,0.0040196,0,0,0.0111802,0,0.0020052,0
35,46343,10/01/23,STR-CMS-13,C9,SAMPLE,0.445,N2,1,1,47.7,27.8,22.4,3292,60620,60.62,15.0,2167,39912,0.439,0.6584032,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
35,46343,10/01/23,STR-CMS-13,C9,SAMPLE,0.445,N2,2,0,214.4,80.5,25.9,3567,75428,75.428,17.2,2373,50132,0.551,0.6646334,0.007426,9.463,9.463,0.003713,9.463,,,,,,,,,,,,,,,,,,,,,,,,
35,46343,10/01/23,STR-CMS-13,C9,SAMPLE,0.445,CO2,3,0,370.1,96.1,,,,,,,,,,,,,,,1.2,5216,125637,125.637,0.6,5484,131616,1.448,3.5,7397,0.535,178381,1.0475895,0.011823,-13.508,-13.508,1.4198149,0.0039762,-10.776,-10.776,0.0110228,-14.079,0.0019836,-10.757
35,46343,10/01/23,STR-CMS-13,C9,SAMPLE,0.445,CO2,4,1,525.6,41.6,,,,,,,,,,,,,,,2.7,5180,96197,96.197,2.2,5498,102155,1.124,5.7,7432,0.414,138070,1.0619337,0.0119849,0,0,1.4352822,0.0040196,0,0,0.0111802,0,0.0020052,0
36,46344,10/01/23,SHW-CMS-05,C10,SAMPLE,0.441,N2,1,1,47.7,28,22.3,3286,60562,60.562,15.0,2162,39873,0.439,0.6583802,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
36,46344,10/01/23,SHW-CMS-05,C10,SAMPLE,0.441,N2,2,0,214.2,81.1,25.8,3707,78846,78.846,17.2,2462,52316,0.575,0.6635247,0.0074139,7.814,7.814,0.0037069,7.814,,,,,,,,,,,,,,,,,,,,,,,,
36,46344,10/01/23,SHW-CMS-05,C10,SAMPLE,0.441,CO2,3,0,369.9,95.1,,,,,,,,,,,,,,,1.2,5216,126148,126.148,0.6,5503,132585,1.458,3.4,7392,0.537,179019,1.0510307,0.0118619,-10.26,-10.26,1.4191219,0.0039745,-11.222,-11.222,0.0110619,-10.581,0.0019827,-11.21
36,46344,10/01/23,SHW-CMS-05,C10,SAMPLE,0.441,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,2.7,5156,95773,95.773,2.2,5473,101704,1.119,5.6,7398,0.412,137456,1.0619263,0.0119849,0,0,1.4352275,0.0040196,0,0,0.0111802,0,0.0020052,0
37,46345,10/01/23,SHW-CMS-07,C11,SAMPLE,0.45,N2,1,1,47.9,28,22.3,3293,60691,60.691,15.0,2168,39958,0.44,0.6583899,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
37,46345,10/01/23,SHW-CMS-07,C11,SAMPLE,0.45,N2,2,0,214.2,80.5,25.9,3841,80089,80.089,17.2,2552,53157,0.585,0.6637172,0.0074159,8.091,8.091,0.003708,8.091,,,,,,,,,,,,,,,,,,,,,,,,
37,46345,10/01/23,SHW-CMS-07,C11,SAMPLE,0.45,CO2,3,0,369.5,95.5,,,,,,,,,,,,,,,1.2,5431,129623,129.623,0.6,5730,136208,1.498,3.5,7698,0.552,183920,1.0507989,0.0118592,-10.483,-10.483,1.4188809,0.0039736,-11.43,-11.43,0.0110593,-10.812,0.0019823,-11.418
37,46345,10/01/23,SHW-CMS-07,C11,SAMPLE,0.45,CO2,4,1,525.6,41,,,,,,,,,,,,,,,2.8,5177,96091,96.091,2.3,5495,102042,1.122,5.7,7427,0.414,137918,1.0619306,0.0119849,0,0,1.4352857,0.0040196,0,0,0.0111802,0,0.0020052,0
38,46346,10/01/23,BVR-CMS-02,C12,SAMPLE,0.448,N2,1,1,48.1,28,22.3,3291,60717,60.717,15.0,2166,39976,0.44,0.6584003,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
38,46346,10/01/23,BVR-CMS-02,C12,SAMPLE,0.448,N2,2,0,214.9,81.3,25.9,3957,83902,83.902,17.2,2624,55592,0.612,0.6625812,0.0074031,6.35,6.35,0.0037016,6.35,,,,,,,,,,,,,,,,,,,,,,,,
