Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
47,45358,09/14/23,SHC-NYM-W-03,H6,SAMPLE,1.506,N2,1,1,47.4,28,30.8,3245,59779,59.779,20.8,2138,39391,0.433,0.6589412,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
47,45358,09/14/23,SHC-NYM-W-03,H6,SAMPLE,1.506,N2,2,0,219.5,93.2,33.8,1479,36775,36.775,22.5,979,24371,0.268,0.6626978,0.0073983,5.701,5.701,0.0036992,5.701,,,,,,,,,,,,,,,,,,,,,,,,
47,45358,09/14/23,SHC-NYM-W-03,H6,SAMPLE,1.506,CO2,3,0,363,140.9,,,,,,,,,,,,,,,1.6,14535,427769,427.769,1.0,15364,448402,4.932,4.2,20463,1.81,603330,1.0482331,0.0118356,-12.451,-12.451,1.4104107,0.0039543,-16.242,-16.242,0.0110377,-12.741,0.0019727,-16.231
47,45358,09/14/23,SHC-NYM-W-03,H6,SAMPLE,1.506,CO2,4,1,525.4,42.2,,,,,,,,,,,,,,,5.7,5104,94749,94.749,5.4,5415,100571,1.106,10.2,7316,0.408,135841,1.0614487,0.0119849,0,0,1.4336972,0.0040196,0,0,0.0111802,0,0.0020052,0
48,45359,09/14/23,PCH_STD_04,H7,STD,1.382,N2,1,1,47.7,28.2,30.7,3243,60061,60.061,20.8,2136,39577,0.435,0.6589461,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
48,45359,09/14/23,PCH_STD_04,H7,STD,1.382,N2,2,0,219.5,100.5,33.9,2054,50506,50.506,22.6,1355,33349,0.367,0.6603023,0.0073715,2.058,2.058,0.0036858,2.058,,,,,,,,,,,,,,,,,,,,,,,,
48,45359,09/14/23,PCH_STD_04,H7,STD,1.382,CO2,3,0,363,167.8,,,,,,,,,,,,,,,1.5,13960,406041,406.041,1.0,14727,424958,4.675,4.2,19649,1.718,572728,1.0465905,0.0118171,-13.996,-13.996,1.4105185,0.0039547,-16.131,-16.131,0.0110192,-14.402,0.0019729,-16.117
48,45359,09/14/23,PCH_STD_04,H7,STD,1.382,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,7.7,5099,94601,94.601,7.4,5410,100413,1.105,13.0,7308,0.407,135624,1.061446,0.0119849,0,0,1.433645,0.0040196,0,0,0.0111802,0,0.0020052,0
49,45360,09/14/23,GA1_STD_04,H8,STD,0.436,N2,1,1,47.4,28,30.7,3241,59322,59.322,20.8,2135,39089,0.43,0.6589323,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
49,45360,09/14/23,GA1_STD_04,H8,STD,0.436,N2,2,0,216.9,98,33.9,2273,54863,54.863,22.6,1491,35995,0.396,0.656092,0.0073247,-4.31,-4.31,0.0036623,-4.31,,,,,,,,,,,,,,,,,,,,,,,,
49,45360,09/14/23,GA1_STD_04,H8,STD,0.436,CO2,3,0,370.3,118.7,,,,,,,,,,,,,,,1.6,4138,113160,113.16,1.0,4331,118216,1.3,4.2,5852,0.481,160246,1.0446823,0.0117941,-15.914,-15.914,1.4160981,0.0039699,-12.35,-12.35,0.0109946,-16.6,0.0019805,-12.326
49,45360,09/14/23,GA1_STD_04,H8,STD,0.436,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.6,5123,95252,95.252,2.1,5436,101118,1.112,5.7,7342,0.41,136573,1.0615758,0.0119849,0,0,1.4338055,0.0040196,0,0,0.0111802,0,0.0020052,0
50,45361,09/14/23,GA2_STD_04,H9,STD,0.431,N2,1,1,47.7,28,30.1,3243,59714,59.714,20.1,2136,39348,0.433,0.658936,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
50,45361,09/14/23,GA2_STD_04,H9,STD,0.431,N2,2,0,217.4,98.6,33.5,2236,54333,54.333,22.2,1465,35612,0.392,0.6554451,0.0073174,-5.298,-5.298,0.0036587,-5.298,,,,,,,,,,,,,,,,,,,,,,,,
50,45361,09/14/23,GA2_STD_04,H9,STD,0.431,CO2,3,0,370.8,117.9,,,,,,,,,,,,,,,1.2,4054,111690,111.69,0.7,4300,118303,1.301,3.8,5737,0.475,158269,1.0592108,0.0119577,-2.262,-2.262,1.4170416,0.0039723,-11.766,-11.766,0.011158,-1.987,0.0019816,-11.774
50,45361,09/14/23,GA2_STD_04,H9,STD,0.431,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,2.4,5124,95166,95.166,1.9,5438,101029,1.111,5.3,7346,0.409,136459,1.0616126,0.0119849,0,0,1.4339128,0.0040196,0,0,0.0111802,0,0.0020052,0
51,45362,09/14/23,GA2_QTY_01,H10,QTY,0.256,N2,1,1,47.7,28.2,30.0,3245,60012,60.012,20.0,2138,39543,0.435,0.6589204,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
51,45362,09/14/23,GA2_QTY_01,H10,QTY,0.256,N2,2,0,217.2,93,33.3,1319,32247,32.247,22.1,864,21133,0.232,0.6553465,0.0073165,-5.424,-5.424,0.0036583,-5.424,,,,,,,,,,,,,,,,,,,,,,,,
51,45362,09/14/23,GA2_QTY_01,H10,QTY,0.256,CO2,3,0,372,112,,,,,,,,,,,,,,,1.1,2432,66875,66.875,0.6,2578,70846,0.779,3.6,3449,0.285,94956,1.0593718,0.0119583,-2.213,-2.213,1.4199074,0.0039801,-9.822,-9.822,0.0111578,-2.006,0.0019855,-9.828
51,45362,09/14/23,GA2_QTY_01,H10,QTY,0.256,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.9,5125,95264,95.264,1.4,5439,101144,1.113,4.6,7347,0.41,136608,1.0617214,0.0119849,0,0,1.4339914,0.0040196,0,0,0.0111802,0,0.0020052,0
52,45363,09/14/23,GA2_QTY_02,H11,QTY,0.446,N2,1,1,47.7,28.2,29.8,3246,59880,59.88,19.8,2138,39455,0.434,0.6589069,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
52,45363,09/14/23,GA2_QTY_02,H11,QTY,0.446,N2,2,0,217.4,99.1,33.2,2308,56404,56.404,22.0,1513,36969,0.407,0.6554321,0.0073176,-5.274,-5.274,0.0036588,-5.274,,,,,,,,,,,,,,,,,,,,,,,,
52,45363,09/14/23,GA2_QTY_02,H11,QTY,0.446,CO2,3,0,370.8,119.5,,,,,,,,,,,,,,,1.1,4181,115940,115.94,0.5,4437,122817,1.351,3.5,5920,0.493,164390,1.0593158,0.0119582,-2.225,-2.225,1.4178902,0.0039745,-11.203,-11.203,0.0111582,-1.967,0.0019827,-11.211
52,45363,09/14/23,GA2_QTY_02,H11,QTY,0.446,CO2,4,1,525.6,40.8,,,,,,,,,,,,,,,2.4,5125,95283,95.283,1.9,5440,101160,1.113,5.2,7347,0.41,136631,1.0616778,0.0119849,0,0,1.4339554,0.0040196,0,0,0.0111802,0,0.0020052,0
53,45364,09/14/23,GA2_QTY_03,H12,QTY,0.614,N2,1,1,47.7,28.4,29.9,3245,59908,59.908,19.9,2136,39450,0.434,0.6585024,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
53,45364,09/14/23,GA2_QTY_03,H12,QTY,0.614,N2,2,0,217.6,102.8,33.3,3192,77839,77.839,22.1,2090,50985,0.561,0.6550085,0.0073174,-5.306,-5.306,0.0036587,-5.306,,,,,,,,,,,,,,,,,,,,,,,,
53,45364,09/14/23,GA2_QTY_03,H12,QTY,0.614,CO2,3,0,369.3,123.3,,,,,,,,,,,,,,,1.1,5738,159804,159.804,0.5,6093,169269,1.862,3.5,8113,0.679,226320,1.0592265,0.0119574,-2.288,-2.288,1.4162334,0.00397,-12.336,-12.336,0.0111579,-1.993,0.0019804,-12.345
53,45364,09/14/23,GA2_QTY_03,H12,QTY,0.614,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.8,5127,95276,95.276,2.3,5440,101151,1.113,5.8,7348,0.41,136619,1.0616557,0.0119849,0,0,1.4339229,0.0040196,0,0,0.0111802,0,0.0020052,0
54,45365,09/14/23,Blank,Extra,BLANK,0,N2,1,1,47.4,28.2,30.0,3245,59850,59.85,20.0,2137,39412,0.434,0.6585219,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
54,45365,09/14/23,Blank,Extra,BLANK,0,CO2,2,1,525.4,40.8,,,,,,,,,,,,,,,0.9,5127,95205,95.205,0.3,5443,101097,1.112,3.1,7352,0.41,136537,1.0618862,0.0119849,0,0,1.4341401,0.0040196,0,0,0.0111802,0,0.0020052,0
55,45366,09/14/23,EmptyHole,Extra,ZERO,0,N2,1,1,47.4,28,29.4,3245,59777,59.777,19.5,2138,39389,0.433,0.6589431,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
55,45366,09/14/23,EmptyHole,Extra,ZERO,0,CO2,2,1,525.4,40.5,,,,,,,,,,,,,,,0.8,5125,95047,95.047,0.2,5441,100935,1.11,2.9,7349,0.409,136319,1.0619498,0.0119849,0,0,1.4342252,0.0040196,0,0,0.0111802,0,0.0020052,0
56,45367,09/14/23,EmptyHole,Extra,ZERO,0,N2,1,1,47.7,28,29.2,3239,59717,59.717,19.2,2133,39325,0.433,0.6585157,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
56,45367,09/14/23,EmptyHole,Extra,ZERO,0,CO2,2,1,525.4,40.3,,,,,,,,,,,,,,,0.7,5103,94767,94.767,0.1,5417,100636,1.107,2.8,7317,0.408,135916,1.0619305,0.0119849,0,0,1.4342107,0.0040196,0,0,0.0111802,0,0.0020052,0
