Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
17,46768,11/09/23,rbt_3m_02,B5,SAMPLE,0.435,N2,1,1,47.4,26.8,30.6,3432,63299,63.299,21.0,2262,41721,0.459,0.6591024,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
17,46768,11/09/23,rbt_3m_02,B5,SAMPLE,0.435,N2,2,0,214.4,97,33.6,3679,81132,81.132,22.7,2466,54328,0.598,0.6696221,0.0074738,15.961,15.961,0.0037369,15.961,,,,,,,,,,,,,,,,,,,,,,,,
17,46768,11/09/23,rbt_3m_02,B5,SAMPLE,0.435,CO2,3,0,368.7,124.1,,,,,,,,,,,,,,,1.9,5571,142005,142.005,1.4,5806,147485,1.622,4.3,7895,0.605,201714,1.0385905,0.011714,-22.601,-22.601,1.4204776,0.0039813,-9.523,-9.523,0.0109133,-23.875,0.0019862,-9.48
17,46768,11/09/23,rbt_3m_02,B5,SAMPLE,0.435,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,5.9,5422,100514,100.514,5.5,5758,106807,1.175,9.9,7773,0.432,144150,1.0626069,0.0119849,0,0,1.434135,0.0040196,0,0,0.0111802,0,0.0020052,0
18,46769,11/09/23,GA1_STD_02,B6,STD,0.42,N2,1,1,47.4,27,30.6,3428,63153,63.153,21.0,2259,41624,0.458,0.6591032,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
18,46769,11/09/23,GA1_STD_02,B6,STD,0.42,N2,2,0,214.4,90.1,33.5,2591,55923,55.923,22.6,1702,36717,0.404,0.6565674,0.0073281,-3.847,-3.847,0.003664,-3.847,,,,,,,,,,,,,,,,,,,,,,,,
18,46769,11/09/23,GA1_STD_02,B6,STD,0.42,CO2,3,0,369.3,113.3,,,,,,,,,,,,,,,1.8,4603,113900,113.9,1.3,4828,119092,1.31,4.2,6530,0.486,161925,1.0455835,0.0117927,-16.034,-16.034,1.4216382,0.0039845,-8.733,-8.733,0.0109917,-16.864,0.0019877,-8.705
18,46769,11/09/23,GA1_STD_02,B6,STD,0.42,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.9,5416,100449,100.449,4.5,5752,106739,1.174,8.6,7762,0.432,144060,1.0626216,0.0119849,0,0,1.4341627,0.0040196,0,0,0.0111802,0,0.0020052,0
19,46770,11/09/23,GA2_STD_02,B7,STD,0.454,N2,1,1,47.7,26.8,30.1,3431,63143,63.143,20.5,2261,41619,0.458,0.6591302,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
19,46770,11/09/23,GA2_STD_02,B7,STD,0.454,N2,2,0,214.2,91.1,33.1,2849,61294,61.294,22.2,1870,40196,0.442,0.6557925,0.0073191,-5.064,-5.064,0.0036596,-5.064,,,,,,,,,,,,,,,,,,,,,,,,
